Phone Brand,Phone Model,SKU Code,Upcoming Series,Released Date,Phone Price,item_height,item_length,item_width,MRP,SELLING PRICE
LG,LG Nexus 5X,NEXUCASE5X,685,10/15,"Rs. 25,990.00",0.79,14.7,7.26,899,799
LG,LG V10,LGV10UCASE,1,10/15,,0.86,15.96,7.93,799,699
Meizu,Meizu M2,MEIM2UCASE,1,07/15,"Rs. 6,999.00",0.87,14.01,6.89,699,599
Meizu,Meizu M2 Note,MEIM2NUCASE,,06/15,"Rs. 8,999.00",0.87,15.09,7.52,799,699
Meizu,Meizu M3 Note,MEIM3NUCASE,,04/16,"Rs. 9,999.00",0.82,15.36,7.55,799,699
Meizu,Meizu MX4,MEIMX4UCASE,1,09/14,"Rs. 17,999.00",0.89,14.4,7.52,699,599
Meizu,Meizu MX5,MEIMX5UCASE,1,07/15,"Rs. 17,799.00",0.76,14.99,7.47,699,599
Micromax,Micromax Canvas Fire 4 A107,MMCF4UCASE,1,03/15,"Rs. 5,289.00",0.88,13.6,6.7,699,599
Micromax,Micromax Canvas Hue 2 A316,MMCH2UCASE,,06/15,"Rs. 7,090.00",1.5,12.1,6.5,699,599
Micromax,Micromax Canvas Juice 3 Q392,MMCJ3UCASE,,09/15,"Rs. 6,777.00",0.89,14.1,7,699,599
Micromax,Micromax Canvas Knight A350,MMCKUCASE,,03/14,"Rs. 8,299.00",0.9,14.5,7.2,799,649
Micromax,Micromax Canvas Knight 2 E471,MMCK2UCASE,1,06/15,"Rs. 8,299.00",0.63,14.2,7.2,799,649
Micromax,Micromax Canvas Magnus A117,MMCMUCASE,1,10/13,"Rs. 11,995.00",0.9,14.4,7.4,799,649
Micromax,Micromax Canvas Nitro 2 E311,MMCN2UCASE,,05/15,"Rs. 7,499.00",0.8,14.4,7.2,699,599
Micromax,Micromax Canvas Nitro 4G E455,MMCNUCASE,,08/15,"Rs. 8,099.00",0.93,14,6.97,699,599
Micromax,Micromax Canvas Play Q355,MMCPUCASE,,05/15,"Rs. 6,000.00",0.99,15.5,7.9,699,599
Micromax,Micromax Canvas Selfie 2 Q340,MMCS2UCASE,,08/15,"Rs. 5,500.00",0.9,14.3,7.18,699,599
Micromax,Micromax Canvas Selfie 3 Q348,MMCS3UCASE,1,08/15,"Rs. 6,615.00",0.78,14.1,6.8,699,599
Micromax,Micromax Canvas Selfie Lens Q345,MMCSLUCASE,,06/15,"Rs. 6,699.00",0.81,14.3,7.1,699,599
